image_id,file_name,ref1,ref2,ref3,ref4,ref5,baseline1_blip,baseline2_florence_raw,proposed_simple,proposed_detailed
491497,000000491497.jpg,A fluffy white chair that faces away fro a television.,A pillow covered reading chair in the corner of the living room,The living room is empty with the television on. ,White ornate seat in nicely decorated room with television.,"A white chair, books and shelves and a tv on in this room.",someone is watching a football game on tv in the living room,A white chaise lounge chair sitting in front of a television.,Chaise lounge chair positioned in front of a television for seated viewing.,White chaise lounge chair sits in front of television in living room setting.
184791,000000184791.jpg,A painting of a table with fruit on top of it.,"Painting of oranges, a bowl, candle, and a pitcher",a painting of fruit and a candle with a vase,"A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.",A painting that has a gold frame on it.,there is a painting of a silver pitcher and oranges on a table,A painting of a pitcher and a bowl of fruit on a table.,Still life arrangement with pitcher and fruit bowl on table.,"Pitcher and bowl of fruit on table, still life setup, decorative objects, domestic interior."
348881,000000348881.jpg,A large jetliner sitting on top of an airport runway.,Airline employees by an aircraft parked at the gate,The plane is parked at the gate at the airport terminal.,View from gate of jet connected to jet way for passengers to board or deplane,A large white airplane and a person on a lot.,this is an image of a plane being loaded at the airport,A large passenger jet sitting on top of an airport tarmac.,Passenger jet on airport tarmac preparing for departure.,"Passenger jet sits on airport tarmac, preparing for departure."
289393,000000289393.jpg,Set of toy animals sitting in front of a red wooden wagon.,"Several toy animals - a bull, giraffe, deer and parakeet.",Some toy animals on the ground near a picture,Children's toy animals are strewn across a floor.,A display of vintage animal toys on the floor.,there are three toy animals that are standing next to each other,"A toy cow, deer and a bird are standing next to each other.","Toys representing cow, deer, and bird figurines standing together.","Toy cow, deer, and bird stand together outdoors."
522713,000000522713.jpg, a bench sitting in the grass facing the water and boats ,A wooden bench overlooking a harbor beneath a cloudy sky.,A beach has a grassy area with a park beach.,A bench that is sitting in the grass.,A bench at the beach next to the sea,there is a bench that is sitting in the grass by the water,A wooden bench sitting on top of a lush green field.,"Bench in a field, providing seating in a natural outdoor setting.",Wooden bench sits atop lush green field in natural outdoor setting.
181666,000000181666.jpg,a flock of goats and some men watching them,a man and a large herd of goats in a desert setting.,The nomadic sheepherd walks behind a large group of livestock in their desert habitat.,A man is herding his goats is the desert,Men keep watch on a herd of goats.,there is a man standing in front of a herd of goats,A herd of goats walking across a dirt field.,Goats walking across a dirt field for grazing purposes.,Goats walk across a dirt field in a rural setting for grazing purposes.
17627,000000017627.jpg,Several cars are parked in front of a building.,A green car has parked on the curb in a parking lot,Small parking lot of cars in front of a stone building.,Cars are parked on the the street in front of the building.,Cars are parked on the street near an old building.,there is a lot of cars that are parked on the street,A city street filled with lots of parked cars.,Cars parked along city street.,Cars line urban street with pavement and surrounding buildings.
143931,000000143931.jpg,A political candidate advertisement on the side of a coach bus.,Here is Massachusettes candidate Scott Brown's campaign trailer.,a large bus with a political ad on the side of it,A tour bus with advertisement on the side of it,a large campaign trailer parked in a parking lot.,there is a blue bus with a picture of scott brown on the side,A blue bus parked in a parking lot next to a street light.,Blue bus parked near street light in parking lot.,"Blue bus parked in parking lot beside street light, awaiting passengers."
303818,000000303818.jpg,A bus traveling down a curvy road behind a black car.,A group of people cross the curved street.,A curve in a city road with a bus following a car and people walking on the side.,A group of people walk alongside the road.,A fish eye view of a bus rounding a curve on a city street.,there are many people crossing the street in front of a bus,A yellow bus driving down a street next to a black car.,Yellow bus proceeding down street alongside black car.,Yellow bus drives down street alongside black car in urban setting.
463730,000000463730.jpg,Two buses parked in a parking lot next to cars.,People crossing a busy city street full of vehicles.,A couple of people are crossing a busy street,Pedestrians crossing a street between buses and cars. ,A street with two busses and people walking.,there is a bus that is driving down the street next to a car,A group of people walking down a street next to a bus.,People walking down street alongside public transportation bus.,People walking down a street alongside a bus in an urban setting.
460347,000000460347.jpg,A bus traveling on a freeway next to other traffic.,A bus and other cars driving down a multi-laned street .,A white bus driving on a four lane road.,City bus next to traffic cones in the far right lane of a busy freeway.,A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,there is a bus that is driving down the road with other cars,A white bus driving down a highway next to cars.,Bus traveling on highway alongside cars.,White bus drives down highway beside cars on a road.
322864,000000322864.jpg,A yellow taxi cab sitting below tall buildings.,A picture of an animal is on a pole and next to it is a yellow taxi.,a couple of yellow signs are near a taxi,ON A CITY ROAD THERE IS LOTS OF TAXIS,Two guiding signs are pictured in front of a busy street.,yellow taxi cabs are parked on the side of a busy city street,A street sign on a pole in front of a yellow taxi.,Street sign indicating directions in front of a taxi.,Street sign on pole in front of yellow taxi in urban setting.
226111,000000226111.jpg,"A No bicycles, skates or skateboards sign on a pole.",a close up of a vandalized street sign,"A street sign prohibiting bicycles, skates, and skateboards.",A street sign mounted to the side of a pole.,A sign prohibiting skating on the sidewalk with black and red writing.,there is a sign that says no bicycles skates or skateboards on sidewalk,"A no bicycles, skates or skateboards sign on a pole.","No bicycles, skates, or skateboards allowed sign.","No bicycles, skates or skateboards sign on a pole in a public area, indicating restricted activities."
153299,000000153299.jpg,two giraffes are standing together outside a barn,A mother giraffe is standing with a baby giraffe.,The smaller giraffe is standing next to the larger giraffe.,Two giraffes in a sanctuary standing close to the wall,"Two giraffes, one grown and one baby, standing next to each other",there are two giraffes that are standing in front of a building,A mother giraffe and her baby standing in front of a barn.,Mother giraffe and calf standing near farm building entrance.,"Mother giraffe and baby stand in front of a rural barn, illustrating a family scene in a natural setting."
308394,000000308394.jpg,An older woman riding a train while sitting under it's window.,A woman with an umbrella on a commuter train takes a snooze,There is a woman sitting alone on a train next to a bag,A man sitting on a bench with a shopping bag next to him on a train.,A woman with a cane and shopping bag sitting,there is a woman sitting on a train looking at her cell phone,A woman sitting on a train with a bag and umbrella.,Woman sitting on train with luggage and rain gear.,"Woman sits on train with bag and umbrella, traveling during rainy weather."
456496,000000456496.jpg,A woman sitting in front of the Eiffel tower near pigeons.,"A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.",A man sitting on cement by some birds,a woman seated on wall and birds besides her,A woman is sitting near a prominent landmark.,black and white photograph of a woman sitting in front of the eiffel tower,A woman sitting on a ledge with pigeons in front of the Eiffel Tower.,Woman sitting on a ledge with pigeons near Eiffel Tower landmark.,"Woman sitting on a ledge with pigeons, in front of the Eiffel Tower in Paris."
58636,000000058636.jpg,A large wooden pole with a green street sign hanging from it.,street signs on the corner of Gladys and Detroit,The signs give the street names and show where to park.,A wooden utility pole sports several street signs.,The street signs for Gladys and Detroit streets are attached to a wooden pole.,there are two green and white street signs attached to a pole,A parking sign on a telephone pole with a blue sky in the background.,Parking sign indicating parking restrictions on a street.,"Parking sign attached to telephone pole, restricting parking, in urban setting."
41888,000000041888.jpg,Three birds walking around a dry grass field.,There are 3 female peacocks together walking around.,three strange looking birds walking on the grass,Three birds huddled together in a open field.,Three wild turkeys on top of the dried pasture.,there are three birds that are standing in the grass together,A group of guinea fowl walking across a dry grass field.,Guinea fowl walking across dry grass field for foraging purposes.,Guinea fowl walk across dry grass field in natural outdoor setting.
184321,000000184321.jpg,A train traveling down tracks next to lights.,A blue and silver train next to train station and trees.,A blue train is next to a sidewalk on the rails.,A passenger train pulls into a train station.,A train coming down the tracks arriving at a station.,there is a train that is coming down the tracks at the station,A train traveling down train tracks next to a train station.,Train passing train station with railroad tracks nearby.,"Train traveling down tracks beside a station, transporting passengers to destinations."
565778,000000565778.jpg,A train going back to its coarse filled with people.,A blue commuter train traveling towards a train tunnel.,Blue train car sitting on a train track near tunnel.,A train with people inside is about to go into a tunnel.,A blue train on some train tracks about to go under a bridge,there is a blue train that is coming out of a tunnel,A blue train traveling through a tunnel next to a forest.,Train traveling through tunnel adjacent to forest.,Blue train travels through tunnel beside forest.
297343,000000297343.jpg,A stop sign has been placed upside-down in the grass beside a building. ,A stop sighn is propped up against the side of a building.,A red stop sign sitting on the floor next to a wall.,Road sigh on wooden pole shown upside down next to white wall.,A stop sign standing up against a wall.,there is a red stop sign hanging from the side of a white door,A red stop sign hanging from the side of a building.,Stop sign indicating halt at building entrance.,"Stop sign hangs from building side, indicating drivers to halt traffic."
336587,000000336587.jpg,a stop sign sittin on a pole that is somewhat broken ,A stop sign on a broken post across the street from houses.,A broken telephone pole in a neighborhood with a stop sign attached to it.,A stop sign is on a dented wooden pole.,A stop sign that is attached to a broken wooden pole.,this is an image of a stop sign on the corner of a street,A stop sign sitting on the side of a road.,Stop sign indicating drivers to come to a complete halt.,"Stop sign stands on roadside, directing traffic to halt, at intersection."
122745,000000122745.jpg,A stop sign is lit up in the dark of night.,A red stop sign sitting on the side of a dark road.,A red stop sign is glowing against the dark sky.,A stop sign on the side of a street.,a vandalized stop sign in the dark with a sky background,there is a stop sign that is lit up in the dark,A stop sign is lit up at night in the dark.,Stop sign illuminated at night for driver visibility.,Stop sign illuminated at night in a dark environment.
219578,000000219578.jpg,A dog and cat lying  together on an orange couch. ,A dog and a cat curled up together on a couch.,A cat and dog napping together on the couch.,A dog and cat are sleeping together on an orange couch.,A cat and a dog rest together on a hideous orange couch.,there is a dog and a cat laying on a couch together,A dog and a cat laying on a couch.,Dog and cat resting together on furniture.,Dog and cat resting together on living room couch.
555705,000000555705.jpg,Two cats sitting on top of a pair of shoes.,Two cats are outside and perched on someone's sneakers.,Two cats are sitting on a pair of shoes outdoors.,Two striped cats lying with two sneakers on a ledge.,Orange and brown cat sitting on top of white shoes. ,there are two cats that are laying on a pair of shoes,Two orange cats laying next to each other on a stone ledge.,Orange cats rest together on stone ledge.,Orange cats laying next to each other on a stone ledge outdoors.
443303,000000443303.jpg,A cat laying on clothes that are in a suitcase. ,A cat that is laying in a piece of luggage. ,A cat is laying in an open suitcase on top of some clothes.,A view of a cat lying in a open suitcase.,An orange and white cat laying on top of a bag of luggage.,there is a cat that is sitting in a suitcase on the bed,An orange and white cat laying in a black suitcase.,"Cat resting in suitcase, orange and white fur visible.","Orange and white cat lays in a black suitcase, resting in a travel setting for transportation purposes."
500663,000000500663.jpg,A herd of cattle grazing on a lush green field.,There are two cows in this grassy field.,some black cattle are grazing in a green field,Cattle are grazing in a bright green pasture along a river and mountains.,A few cows grazing in a field near trees.,there is a cow that is standing in the grass in the field,A herd of cows grazing on top of a lush green field.,Cows graze on lush green grass in a pastoral setting.,"Cows graze in a lush green field surrounded by hills, eating grass, in a rural landscape."
418281,000000418281.jpg,two cows outside one laying down and the other standing near a building ,The white scared cow in a Tibetan city.,A cow standing in a grassy open field.,A herd of cattle sitting and standing on a lush green field.,There white cows in grassy area with temples in background.,there is a cow that is standing in the grass by some trees,A couple of cows standing on top of a lush green field.,Cows grazing in a green pasture for agricultural purposes.,"Cows stand on a green field, grazing peacefully, in a rural landscape."
25560,000000025560.jpg,An orange and white cat standing in front of a flat screen TV,A cat climbing on top of a shelf with a tv,A cat is standing on top of a shelf and staring down.,A cat standing in front of a tv on a tv stand.,A cat perches on top of an entertainment center in front of a TV.,there is a cat that is standing on top of a tv,A cat standing on top of a television stand.,"Cat standing on television stand, possibly indicating unstable placement.",Cat stands on television stand in living room.
403817,000000403817.jpg,A cat sitting beside a laptop on a desk.,A curious cat looking upward by a laptop screen.,A picture of a cat staring at the ceiling. ,a white and black cat looking up in the air in front of a desktop computer.,The grey and white cat stares up near a laptop.,there is a black and white cat sitting in front of a computer,A black and white cat sitting on top of a desk next to a laptop.,"Cat on desk beside laptop, possibly obstructing workspace.",Black and white cat sitting on desk beside laptop in home office setting.
85329,000000085329.jpg,An image of a very cute girl with face piercings.,Painting of girl that has multiple piercings on face,A young brunette woman with multiple face piercings.,A young woman with green eyes and piercings all over her face.,A drawing of a young woman with many facial piercings.,there is a 3d image of a woman with piercings on her face,A woman with green eyes and piercings on her face.,Woman with green eyes and facial piercings.,Woman with green eyes and facial piercings in a portrait setting.
329323,000000329323.jpg,A group of people who are standing together.,a group of people that are standing up outside,a group of people are all gathered together outside,A crowd of people gather around the unwrapping of an item.,The crowd is looking at something covered in white cloth.,there is a crowd of people standing around a man holding a baby,A group of people standing around a man laying on a bed.,People gathered around a man receiving medical attention.,Man receiving medical attention from people surrounding his hospital bed.
239274,000000239274.jpg,A yacht with people is near a pier on clear water.,A group of people mingle on a yacht beside the coast.,People are getting off a boat on a rocky island.,People aboard and boarding a party boat in the water.,A pontoon boat ferry full of passengers pushes off from shore. ,there is a boat that has people on it in the water,A large boat with people on it in the water.,Passenger boat carrying people across water.,Passengers onboard sailboat navigating open water for recreation.
286994,000000286994.jpg,some elephants and one is by some water,A elephant drinks from a stream with several other elephants walking in the background.,"One elephant standing away from the rest of the herd, drinking water.",An elephant drinking water while the rest of the herd is walking in dry grass.,A group of elephants with water in front and trees behind.,there are a lot of elephants that are standing in the water,A herd of elephants walking across a dry grass covered field.,Elephants walking across dry grass field in migratory pattern.,Elephants walk across a dry grass covered field in a natural setting for grazing purposes.
511321,000000511321.jpg,there are two large boats that are in the water ,Some very nice looking boats in the water.,"Two large ferries passing by each other in a city scape,",Two long boats are sailing near a large bridge. ,Scenic boats daily travel the Thames in England.,there are a lot of boats that are floating in the water,A large boat traveling down a river next to a bridge.,Boat traveling down river alongside bridge structure.,Boat sails down river alongside bridge connecting shores for transportation purposes.
314294,000000314294.jpg,An elephant standing under the shade of a tree.,An elephant standing in the middle of a rocky environment.,An elephant is alone in a wooded enclosure.,An elephant standing in a shaded cleaning in a wooded area.,An elephant walks alone past some big rocks boulders in an open field,there is an elephant that is standing in the dirt by some trees,A large elephant standing next to a tree in a forest.,Elephant standing beside tree in forest habitat.,Elephant stands beside tree in forest surroundings.
233771,000000233771.jpg,A black and white image with a colored british flag umbrella,A lady in a crowd holding an umbrella with a British flag design.,"Color corrected photograph of a person carrying a red, white and blue umbrella.",A colorful umbrella in the center of a black and white picture of a busy city side walk.,A group of people walking on the street in a city.,black and white photograph of a crowd of people walking down a street holding umbrellas,A group of people walking down a street holding umbrellas.,People walking down street holding umbrellas during rain.,People walk down a city street on a rainy day holding umbrellas for shelter.
475779,000000475779.jpg,There is an elephant standing near a tree.,An elephant in a grassy field with trees,A large tusked elephant walking in a wooded area.,An elephant is walking through the green shrubs.,An adorable elephant walking through a grass covered forest.,there is an elephant that is standing in the grass near a tree,A large elephant standing in a grassy field next to trees.,Elephant in grassy field with trees nearby.,Elephant stands in grassy field beside trees in natural setting.
301867,000000301867.jpg,THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,Three teenage girls hover under an umbrella while they talk and laugh.,three people standing near one another with an umbrella,Three girls walking down the sidewalk under a sun umbrella.,Three young women smile brightly together under a large umbrella.,there are three women walking down the street with an umbrella,A group of three women standing next to each other holding an umbrella.,Women standing together holding umbrella sheltering from rain.,Three women stand together holding an umbrella outdoors in rainy weather for shelter.
312421,000000312421.jpg,Several middle eastern looking stickers decorate a black briefcase.,Suitcase with stickers outside on table in city.,a luggage bag on top of a table ,A briefcase with decorated with stickers placed on a table.,A lunch box of some sorts is placed on the table. ,there is a black suitcase with stickers on it sitting on a table,A black box sitting on top of a wooden table.,Black box on wooden table for storage purposes.,Black box sits on wooden table in a home setting for storage purpose.
185250,000000185250.jpg,A woman standing next to a  brown and white dog.,a man watches as a dig looks at a toy in the air ,A man standing in a grass field with a dog in front of him and frisbee type toys thrown in the air.,A man watches as a dog prepares to jump for a frisbee.,"Frisbee in the air, a dog squatting looking up at it, and a man standing behind the dog watching it, on the grass with a tree.",they are playing frisbee with a dog in the yard,A man in an orange shirt is playing with a dog.,Man in orange shirt interacting with dog.,Man in orange shirt plays with dog outdoors for recreation.
356427,000000356427.jpg,A man standing next to train tracks with bags of luggage.,A man standing next to luggage on a railway platform.,A man standing at a train station near a pile of luggage,A man stands at a train station with lots of luggage,A young man standing with luggage next to the tracks,there is a man standing next to a pile of luggage at a train station,A young man standing next to a pile of luggage on a train platform.,Man standing beside luggage on a train platform waiting to board.,Man stands beside luggage on a train platform waiting to board.
572517,000000572517.jpg,a polar bear following a big winged bird,a large bear landing a large polar bear is in the background preparing to drink from the water ,A polar bear and a bird near a small pond.,A bird sitting in front of the water with a bear on the other side.,"A Polar Bear walks toward water, while a large bird lands on the opposite bank.",there is a polar bear that is standing next to a body of water,A polar bear standing on top of a rock next to a body of water.,"Polar bear on rock near water, illustrating Arctic habitat.","Polar bear stands on rock beside water, likely resting or observing surroundings."
270244,000000270244.jpg,A zebra all by itself in the green forest.,A zebra standing in a field of grass outside.,A zebra standing in a grassy field by a woods.,A zebra stands in high grass in wooded area.,A half zebra hybrid is standing in tall grass.,there is a zebra that is standing in a field of grass,A zebra standing in a grassy field with trees in the background.,Zebra standing in grassy field with trees nearby.,"Zebra stands in grassy field with trees, outdoors, in natural habitat."
516316,000000516316.jpg,An antilope is eating grass in between two zebra.,Several zebras eat the green grass in the pasture.,Two zebras and another animal grazing in the grass.,Three zebra in the middle of a field with a body of water in the distance.,Three Zebra's eating grass as they walk. ,there are three zebras and a wildebeest grazing in a field,Three zebras and a wildebeest grazing in a grassy field next to a body of water.,Zebras and wildebeest graze in a field near water.,"Zebras and wildebeest graze in a grassy field near water, illustrating wildlife coexisting in a natural habitat."
125211,000000125211.jpg,A zebra standing on top of a grass covered field.,there is a very beautiful zebra that is standing in the shade,A zebra showing the left side of itself on a field.,A zebra is standing in an open field.,a large zebra standing next to a tree,this is a close up of a zebra standing in a field,A zebra standing in a grassy field next to a tree.,Zebra in grassy field alongside tree.,Zebra stands beside tree in grassy field.
562121,000000562121.jpg,Two zebras fighting in a cloud of dust,Two zebras fighting in a open area with green bushes.,Two zebras are battling each other on hind legs.,Two zebra having a fight on top of a dry grass field.,Two zebras in a jungle area fighting in a dirt area.,there are two zebras fighting each other in a field,A herd of zebras standing on top of a dirt road.,"Zebras standing on dirt road, grouped together in a herd.","Zebras stand on dirt road in outdoor setting, traveling in a herd."
360661,000000360661.jpg,A couple of jockey's riding the horses through the beach.,Jockeys races horses on the beach on a clear day.,Jockeys on horses race on an ocean beach.,People riding on horses as the run on a beach. ,three people riding horses on a beach ,three jockeys are racing their horses on the beach near the ocean,A group of people riding horses on top of a sandy beach.,Beachgoers riding horses along shoreline on sandy terrain.,People ride horses along a sandy beach shoreline for recreation.
16228,000000016228.jpg,There is a white horse pulling a trolley behind it.,A horse pulling a wagon with a conductor down the road. ,A large white horse pulling a trolley car down the street. ,A trolley that is being pulled by a white horse.,A horse pulling a trolley carriage with a man on it,there is a white horse pulling a trolley down the street,A horse pulling a trolley down a street.,Horse pulling carriage for transportation purposes.,Horse pulls trolley down cobblestone street in urban setting for transportation purpose.
382088,000000382088.jpg,A big and white horse in a dirt cage. ,A white horse is standing near a riding field.,a white horse that is standing next to a fence,A white horse standing in a corral looking on.,A white horse standing on top of a dirt field.,there is a white horse that is standing in the dirt,A white horse standing in a fenced in area.,Horse in fenced enclosure for safety and containment.,White horse stands in fenced enclosure for livestock containment.
266409,000000266409.jpg,A man in a blue coat skiing through a snowy field. ,A person riding skis on top of a snow covered slope.,The person is standing in the deep snow. The trees are covered with snow.,A man walking on his skis in the snow with snow covered trees in the background.,A man that has ski's and is standing in the snow.,there is a man that is standing in the snow on skis,A man in a blue jacket is cross country skiing.,Man cross country skiing in winter clothing.,Man in blue jacket cross country skis through snowy terrain for recreational purpose.
430961,000000430961.jpg,A baseball player preparing to throw a pitch during a game.,A man that is standing in the dirt with a glove.,A baseball player lunges and reaches back with the ball.,A baseball player pitching a baseball on top of a field.,A man in a Rays uniform is throwing a baseball,there is a man that is throwing a baseball on the field,A baseball player pitching a ball on top of a field.,Baseball player throwing pitch from mound on grass field.,Baseball player pitching ball on a outdoor field during a game.
80671,000000080671.jpg,A person is trying to ski down a snowy slope.,The woman is learning how to ski on the snow.,A child is bent over on skis in the snow.,someone that has some skiies on in the snow,A woman touching her skis going down a ski hill.,there is a person riding skis down a snow covered slope,A person on skis going down a snowy hill.,Skier descending snowy slope for recreational winter sport.,Skier descends snowy hill during winter sports activity outdoors.
577539,000000577539.jpg,"A bowl of banana's, sprinkels, chocolate chips, and marshmellows.","Bananas, marshmellows, chocolate chips and sprinkles in a bowl",Some dessert and toppings are in a blue plastic bowl.,"A blue plate filled with marshmallows, chocolate chips and banana.","A bowl full of marshmallows, chocolate, and other delicious treats.",someone is holding a blue bowl filled with ice cream and toppings,A person holding a blue bowl filled with ice cream and chocolate.,Person holding blue bowl containing ice cream and chocolate.,Person holding blue bowl filled with ice cream and chocolate in a kitchen setting for dessert.
104612,000000104612.jpg,A plate is filled with broccoli and noodles.,A dish of vegetables and noodles with sauce.,The dinner on the plate is ready to eat. ,A broccoli and pasta salad with oil and vinegar dressing.,an image of a plate of food with meat and veggies,there is a black plate with noodles and broccoli on it,A black plate topped with noodles and broccoli.,Plate of noodles and broccoli for eating.,"Noodles and broccoli on a black plate, serving as a meal."
476258,000000476258.jpg,A person in a helmet is riding a skateboard.,Man in yellow and black body suit on skateboard.,A man with a helmet on riding on an electrical skateboard. ,A skateboarder demonstrates on his skateboard that has a large wheel in the back.,A man on a long exposure picture riding an electric skateboard.,this is a blurry photo of a man riding a skateboard,A man riding a skateboard down a street at night.,Man on skateboard navigating downhill on urban street at night.,Man riding skateboard down urban street at night for transportation.
448365,000000448365.jpg,"Youngster on a skateboard, trying simple tip up stunt.",Young skateboarder displaying skills on sidewalk near field.,A person on a skateboard on a street.,A young boy is performing tricks on a skateboard.,a little boy that is jumping a skateboard,there is a young boy that is doing a trick on a skateboard,A young boy riding a skateboard on top of a ramp.,Boy riding skateboard on ramp during action sports activity.,Boy riding skateboard down ramp at skatepark for recreation.
35197,000000035197.jpg,A person on a skateboard rides down a ramp.,Black and white photograph of person on a skateboard.,Person riding on edge of skateboard about to do a trick,A man is standing on a skateboard at a skate park.,A black and white photograph of a person wearing DC shoes on a skateboard in the sun. ,this is a black and white photo of a person riding a skateboard,A young man riding a skateboard down the side of a ramp.,"Skateboarder descending ramp on wheels, performing trick.",Man rides skateboard down ramp at skatepark for recreational purpose.
349860,000000349860.jpg,A BOY WITH A BLUE SHIRT AND JEAN PANTS DOING A TRICK WITH HIS SKATEBOARD,a young man doing a jump with his skateboard in a skate park,A man has jumped a ramp with his skateboard.,a man in the air with a skateboard above a half pipe ,A man is in mid air doing a skateboard trick.,there is a man riding a skateboard up the side of a ramp,A man riding a skateboard on top of a ramp.,Skateboarder performing trick on ramp.,Man rides skateboard on a ramp at a skatepark for recreation.
180135,000000180135.jpg,A man holding a microphone in one hand while he holds a skateboard in the other.,a man holding a skateboard and a microphone ,A young man holding a microphone and a skate board.,A young skateboarder talking into a microphone ,A guy holding a skate board is speaking into a microphone.,there is a man that is holding a skateboard and a microphone,A man holding a skateboard and a microphone in his hand.,"Man holding skateboard and microphone, preparing for announcement or presentation.","Man holds skateboard and microphone in hand outdoors, preparing to announce an event."
